id,grade,publisher,unit,error_pattern,error_description,question,example_sentences,correct_replacement,correct_sentence
32,6학년,YBM(최희경),7단원,What would you like to has?,The verb after “to” should be in the base form.,to 다음에 오는 말의 모양이 알맞은지 다시 읽어 볼까요?,"What would you like to have? | What would you like to have, Lucas? | What would you like to have, Rani? | What would you like to have, Mike? | What would you like?",,
33,6학년,YBM(최희경),7단원,I'd like have cheese spaghetti.,The infinitive marker “to” is required before the verb after “would like.”,~하고 싶다'라고 이야기할 때 마지막에 들어갈 단어는 무엇인가요?,I’d like to have cheese spaghetti. | I’d like to have tteokbokki. | I’d like to have carrot juice. | I’d like to have beefsteak. | I’d like to have an egg sandwich.,,
34,6학년,YBM(최희경),7단원,I like to have a cheese spaghetti.,“I’d like” should be used instead of “I like” to express wanting something.,나는 ~하고 싶다'라고 이야기할 때 I 뒤에 들어갈 단어는 무엇인가요?,"I’d like to have cheese spaghetti. | What would you like to have? | I’d like to have tteokbokki. | What would you like to have, Lucas? | I’d like to have an egg sandwich.",,
35,6학년,YBM(최희경),7단원,How your cheese spaghetti?,A linking verb is required after “how” when asking about a person’s or thing’s condition.,"맛을 물을 때, 'how' 뒤에 빠진 말이 없는지 확인해 볼까요?","How’s your cheese spaghetti? | How’s your spaghetti? | How’s your beefsteak, Dad? | How’s your chicken curry, Lucas? | How’s your watermelon juice?",,
36,6학년,YBM(최희경),8단원,Who is fast?,The adjective “fast” should be changed to the comparative form when comparing two people.,둘을 비교할 때 '더 ~한'을 어떻게 표현할까요?,"Who is faster? | Who is faster, Sua or Andy? | Who is faster, Jiho or Yunwoo? | Who is faster, Suji or Anna? | Who is faster, Chris or Junho?",,
37,6학년,YBM(최희경),8단원,Mina is faster then Minjun.,The comparative form “than” should be used instead of “then” in comparisons.,둘을 비교할 때 '~보다'를 뜻하는 단어는 무엇인가요?,Yuna is faster than Minh. | Anna is faster than Suji. | Chris is faster than Junho. | Ben is faster than Jason. | Jimin is faster than Sally.,,
38,6학년,YBM(최희경),8단원,"Which faster, the blue car or the red car?",A linking verb is required before the comparative adjective in a question.,Which 다음에 필요한 단어는 무엇인가요?,"Which is faster, my drone ball or yours? | Which is faster, the red car or the blue car? | Which is faster, the red robot or the blue robot? | Which is faster, the blue drone or the green drone? | Which is faster, the red car or the green car?",,
39,6학년,YBM(최희경),8단원,The blue car faster than the red car.,A linking verb is required before the comparative adjective.,주어 뒤에 빠진 말이 없는지 다시 볼까요?,The red car is faster than the blue car. | The green car is faster than the red car. | The dog is faster than the cat. | The blue drone is faster than the green drone. | The blue robot is faster than the red robot.,,
40,6학년,YBM(최희경),8단원,The blue car is more faster than the red car.,“More” should not be used with the comparative form “faster.”,"이미 비교하는 뜻이 있는데, 비슷한 뜻을 한 번 더 넣지 않았는지 확인해 볼까요?",The green car is faster than the red car. | The yellow house is bigger than the blue house. | The orange toy is longer than the pink toy. | The blue bag is heavier than the orange bag. | The brown dog is faster than the white dog.,,
41,6학년,YBM(최희경),9단원,How I can get to the library?,An auxiliary verb should come before the subject in a wh-question.,"질문을 만들 때, I와 can의 자리가 자연스러운지 다시 볼까요?",How can I get to the library? | How can I get to Haeundae Beach? | How can I get to Busan? | How can I get to Seoul? | How can I get to the hospital?,,
42,6학년,YBM(최희경),9단원,How can I get the library?,The preposition “to” is required after “get” before a place.,~에'라고 표현하려면 장소 앞에 어떤 단어가 필요할까요?,How can I get to the library? | How can I get to the park? | How can I get to the police station? | How can I get to Jeju-do? | How can I get to the museum?,,
43,6학년,YBM(최희경),9단원,You can get there with subway.,The preposition “by” is used to talk about transportation.,교통수단 앞에 들어갈 말은 무엇인가요?,You can get there by subway. | You can get there by bus. | You can get there by train. | You can get there by airplane. | Let’s go by train.,,
44,6학년,YBM(최희경),9단원,It's on front of the bank.,"The fixed expression is “in front of,” not “on front of.”",~앞에'라고 이야기할 때 front 앞에는 어떤 단어를 써야 할까요?,It’s in front of the bank. | It’s in front of the park. | It’s in front of the bookstore. | It’s in front of the library. | It's in front of the museum.,,
45,6학년,YBM(최희경),9단원,It's in front the bank.,The preposition “of” is required in the fixed expression “in front of.”,~앞에'라고 이야기할 때 front 뒤에는 어떤 단어를 써야 할까요?,It’s in front of the bank. | It’s in front of the park. | It’s in front of the library. | It's in front of the school. | It's in front of the ice cream shop.,,
46,6학년,YBM(최희경),10단원,How often are you brush your teeth?,The auxiliary verb “do” should be used before the subject to form a simple present question.,어떤 행동을 얼마나 자주하는 지 물을 때 'how often' 뒤에 어떤 말이 나와야 할까요?,How often do you wash your hands? | How often do you brush your teeth? | How often do you exercise? | How often do you eat breakfast? | How often do you clean your room?,,
47,6학년,YBM(최희경),10단원,How often do you brushes your teeth?,The main verb should be in the base form after the auxiliary “do.”,do 다음에 오는 행동을 나타내는 단어(동사)는 어떤 형태인가요?,How often do you exercise? | How often do you wash your hands? | How often do you eat fast food? | How often do you read books? | How often do you eat breakfast?,,
48,6학년,YBM(최희경),10단원,Three time a day.,A plural noun is required after “three.”,time이 여러 번일 때 어떤 모양인가요?,I brush my teeth three times a day. | Three times a day. |I wash my hands four times a day. | I brush my teeth four times a day. | I exercise four times a week.,,
49,6학년,YBM(최희경),10단원,Three times in a day.,"This frequency expression uses “a + time unit,” not “in + a + time unit.”",이 표현에서 in이 꼭 필요한지 다시 읽어 볼까요?,I exercise four times a week. | I wash my hands five times a day. | I drink water seven times a day. | I wash my hands six times a day. | I stay up late five times a month.,,
50,6학년,YBM(최희경),10단원,Good for yourself.,A personal object pronoun should be used instead of a reflexive pronoun in this expression.,~에 좋다'라고 이야기할 때 for 뒤에는 어떤 말을 써야할까요?,"Good for you! | Good for you. | Good for you! | Good for you! | It is good for you, too.",,
51,6학년,YBM(최희경),11단원,Do you know the space station?,The preposition “about” is used with “know” to mean having information about something.,~에 대해서'라고 표현하려면 어떤 단어가 필요할까요?,Do you know about the space station? | Do you know about space food? | Do you know about the sleeping bag? | Do you know about sikhye? | Do you know about kimchi?,,
52,6학년,YBM(최희경),11단원,"Yes, I know about.",The preposition “about” must be followed by an object.,about' 뒤에는 어떤 단어가 와야할까요?,"Yes, I know about it. | Yes, I know about it. It is a home for astronauts in space. | Yes, I know about it. It’s a traditional Korean food. | Yes, I know about it. It’s a traditional Korean house. | Yes, I know about it. It’s a Chinese toy.",,
53,6학년,YBM(최희경),11단원,"No, I have not idea.",The noun “idea” requires the article “no” in the expression “have no idea.”,~을 모른다'라고 이야기할 때 idea 앞에 어떤 단어가 적절할까요?,"No, I have no idea. | No, I don’t. I have no idea. | No, I have no idea. It’s a traditional Korean drink. | No, I have no idea. What is it? | No, I have no idea. It’s a traditional Korean house.",,
54,6학년,YBM(최희경),11단원,It's home for astronauts.,An article is required before the singular countable noun “home.”,home 앞에 필요한 단어는 무엇일까요?,"It is a home for astronauts in space. | It’s a home for astronauts. | It is a home for astronauts. | What is it? It’s a home for astronauts. | Yes, I know about it. It is a home for astronauts in space.",,
55,6학년,YBM(최희경),11단원,It's a home of astronauts.,The “home” should be used with “for” in this expression.,~을 위한'라고 이야기할 때 어떤 단어가 적절할까요?,"It is a home for astronauts in space. | It’s a home for astronauts. | It is a home for astronauts. | Do you know about the space station? It’s a home for astronauts. | Space station, space station. Do you know about the space station? Yes, I know about it. It is a home for astronauts in space.",,
56,6학년,YBM(최희경),12단원,Why you are happy?,An auxiliary verb is required before the subject in a wh-question.,"질문을 만들 때, 단어의 순서가 자연스러운지 다시 볼까요?",Why are you happy? | Why are you sad? | Why are you worried? | Why are you tired? | Why are you angry?,,
57,6학년,YBM(최희경),12단원,Because I win the basketball game.,The simple past tense should be used for a completed action in the past.,"이미 지난 일을 말할 때, 행동을 나타내는 단어(동사)는 어떤 형태로 써야 할까요?","Because I won the basketball game yesterday! | I made it yesterday. | I went to a baseball game and bought this cap yesterday. | Yes, I got it for my birthday. | Because I got new shoes.",,
58,6학년,YBM(최희경),12단원,Because I won basketball game.,An article is required before the singular countable noun phrase “basketball game.”,어떤 대상을 정확하게 지칭하려면('그') 어떤 말이 필요할까요?,Because I won the basketball game. | Because I won the soccer game. | Because I won the baseball game. | Because I won the game. | Because I won the basketball game yesterday!,,
59,6학년,YBM(최희경),12단원,I feel same.,The adjective “same” is commonly used with the definite article in this expression.,나도 그래'라고 이야기할 때 feel과 same 사이에 어떤 단어가 필요할까요?,"I feel the same. | I feel the same, Yuna. | I feel the same, Hoyeon. | I feel the same. | Oh, same here.",,
60,6학년,YBM(최희경),12단원,I am feel the same.,The main verb should not be used together with the auxiliary “am.”,이 문장에서 행동을 나타내는 단어(동사)는 무엇인가요? 지금 불필요한 단어가 있지는 않나요?,"I feel the same. | I feel the same, Yuna. | I feel the same, Hoyeon. | I feel better. | I feel great now.",,
